Common.Return	Zurueck
Common.Ok	OK
Common.Cancel	Abbr.
Common.Yes	Ja
Common.No	Nein
Common.Close	Schließen
Common.Slot	Slot {index}
Option.Title	Optionen
Option.Close	Schließen
Option.Video	【Video】
Option.Audio	【Audio】
Option.Language	【Sprache】
Option.FullScreen	Vollbild
Option.VSync	VSync
Option.Music	Musik
Option.SoundEffect	Effekte
Title.Points	{points} pt
Title.PointsTooltip	In Kaempfen gesammelte Punkte.\nIm Skillbaum und der Galerie nutzbar.
Title.ClayEdit	Formen
Title.BattleNpc	CPU
Title.BattlePvp	PvP
Title.Training	Training
Title.SkillTree	Skills
Title.ModelGallery	Galerie
Title.Option	Optionen
Title.DesktopPet	Desktop-Pet
Title.Quit	Ende
Title.QuitConfirm	Spiel beenden?
Battle.Draw	Unentschieden
Battle.Victory	{winnerName} siegt!
Battle.RangeLabel	Reichweite
Battle.Distance	Distanz {distance}
Battle.TipsBody	【Steuerung】\nVor/Zurück bewegen\nMit Technikbuttons angreifen\nKonter und Teilebruch nutzen
Battle.TipsEscHint	Esc für Tipps
Battle.HintPartRepair	RMB halten zum Reparieren
Battle.HintKnockbackReady	Rueckstoss bereit
Battle.HintCounter	Konter! Mit {part}-Technik abfangen
Battle.HintAttackLockout	Angriffs-Abklingzeit
Battle.HintChain	Kette x{count}
Battle.Miss	Fehlschlag
Battle.BandClose	Nah
Battle.BandMid	Mittel
Battle.BandFar	Fern
Battle.HitHigh	Hoch
Battle.HitMid	Mittel
Battle.HitLow	Niedrig
Battle.HitVeryLow	Sehr niedrig
Battle.PartArm	Arm
Battle.PartLeg	Bein
Battle.PartFront	Vorne
Battle.PartBack	Hinten
Battle.PartBody	Keine
Battle.Leave	Zurueck
Motion.LowSweep	Fußfeger
Motion.Kick	Tritt
Motion.ShoulderRam	Schulter
Motion.HipCheck	Hueftcheck
Motion.Stomp	Stampfer
Motion.Punch	Faustschlag
Motion.Elbow	Ellbogenschlag
Motion.BellyFlop	Bauchklatscher
Motion.Headbutt	Kopfnuss
Motion.Fireball	Feuerball
Motion.Bite	Biss
Motion.TailWhip	Schwanzangriff
Motion.ThunderShock	Donnerschock
Motion.DiamondDust	Diamantstaub
Motion.SpinTackle	Drehtackle
Motion.Uppercut	Uppercut
Motion.WindSlasher	Windklinge
Motion.BodySlam	Body-Slam
Motion.Knee	Knie
Motion.GroundPound	Bodenschlag
Motion.Slap	Klaps
Motion.Tackle	Tackle
Motion.Chop	Kantenschlag
Motion.DoubleSlap	Doppelklaps
Motion.HammerArm	Hammerarm
Motion.DoubleKick	Doppeltritt
Motion.DropKick	Dropkick
Motion.Peck	Picken
Motion.HornAttack	Hornstoss
Motion.TailSlam	Schwanzschlag
Motion.Rollout	Rolle
BattlePvp.DisconnectMessage	Verbindung getrennt
BattlePvp.DisconnectClose	Schließen
ModelGallery.Points	{points} pt
ModelGallery.PostConfirm	Modell posten?
ModelGallery.Slot	Slot
Enemy.Weak	Schwach
Enemy.Normal	Normal
Enemy.Strong	Stark
Enemy.VeryStrong	Sehr stark
Enemy.Strongest	Stärkste
Training.ModeSelectTitle	Trainingsmethode wählen
Training.ResumeTitle	Laufendes Training gefunden
Training.AmbushTitle	Hinterhalt!
Training.AmbushTitleBang	Hinterhalt!
Training.AmbushEnemyDefault	Starker Gegner
Training.AmbushMessage	{name} greift an!\nKämpfen oder fliehen?
Training.Complete	Training abgeschlossen
Training.Motivation	Motivation 
Training.LearnedHeader	▼ Neue Technik
Training.SwapHeader	▼ Zu ersetzender Slot
Training.AttackComposition	▼ Techniken
Training.AttackCompositionNone	▼ Techniken\nKeine
Training.Inheritance	Vererbung
Training.SaveOverwrite	Trainierten Slot {slot} überschreiben
Training.SaveTo	In trainierten Slot {slot} speichern
Training.SaveDestNotSelected	Kein Slot gewählt
Training.SaveFailed	Speichern fehlgeschlagen\nUntrainierte Daten bleiben
Training.AmbushStartFailed	Hinterhalt-Kampf startet nicht
Training.SwapSlotResult	Slot {slot} ersetzt
Training.ChooseSave	Slot
Training.DeleteConfirm	Slot {slot} „{name}“ löschen?
Training.ModelNamePlaceholder	Modellname eingeben
Training.TrainedSlot	Trainierter Slot {index}
SkillTree.SelectNode	Knoten wählen
SkillTree.Unlock	Freisch.
SkillTree.Unlocked	Freigeschaltet
SkillTree.PointsShort	Nicht genug Punkte
SkillTree.BonusHeader	【Boni】
SkillTree.StatStartHp	Start-KP
SkillTree.StatStartAtk	Start-Angriff
SkillTree.StatStartDef	Start-Verteidigung
SkillTree.StatStartSpd	Start-Tempo
SkillTree.StatStartHit	Start-Treffer
SkillTree.StatStartAll	Start alle Werte
SkillTree.StatGreatSuccess	Grosse Erfolgschance
SkillTree.StatStartMoney	Startgeld
SkillTree.StatTrainMoney	Trainingsgeld
SkillTree.StatPoints	Kampfpunkte
SkillTree.StatInherit	Vererbungsbonus
SkillTree.StatNone	─
SkillTree.Node.Center.Name	Basis-KP I
SkillTree.Node.Center.Desc	Training startet mit +{0} KP
SkillTree.Node.StartingHp.Name	Basis-KP II
SkillTree.Node.StartingHp.Desc	Training startet mit +{0} KP
SkillTree.Node.StartingHp2.Name	Basis-KP III
SkillTree.Node.StartingHp2.Desc	Training startet mit +{0} KP
SkillTree.Node.StartingHp3.Name	Basis-KP IV
SkillTree.Node.StartingHp3.Desc	Training startet mit +{0} KP
SkillTree.Node.StartingAttack.Name	Basis-Angriff I
SkillTree.Node.StartingAttack.Desc	Training startet mit +{0} Angriff
SkillTree.Node.StartingAttack2.Name	Basis-Angriff II
SkillTree.Node.StartingAttack2.Desc	Training startet mit +{0} Angriff
