Common.Return	Back
Common.Ok	OK
Common.Cancel	Cancel
Common.Yes	Yes
Common.No	No
Common.Close	Close
Common.Slot	Slot {index}
Option.Title	Settings
Option.Close	Close
Option.Video	【Video】
Option.Audio	【Audio】
Option.Language	【Language】
Option.FullScreen	Fullscreen
Option.VSync	VSync
Option.Music	Music
Option.SoundEffect	SFX
Title.Points	{points} pt
Title.PointsTooltip	Points earned in battle.\nUsable in the Skill Tree and Gallery.
Title.ClayEdit	Edit
Title.BattleNpc	CPU
Title.BattlePvp	PvP
Title.Training	Train
Title.SkillTree	Skills
Title.ModelGallery	Gallery
Title.Option	Options
Title.DesktopPet	Desktop Pet
Title.Quit	Quit
Title.QuitConfirm	Quit the game?
Battle.Draw	Draw
Battle.Victory	{winnerName} wins!
Battle.RangeLabel	Range
Battle.Distance	Distance {distance}
Battle.TipsBody	【Controls】\nMove back/forward\nAttack with move buttons\nUse counters and part breaks
Battle.TipsEscHint	Esc to show tips
Battle.HintPartRepair	Hold RMB to repair parts
Battle.HintKnockbackReady	Knockback ready
Battle.HintCounter	Counter! Intercept with {part} move
Battle.HintAttackLockout	Attack cooldown
Battle.HintChain	Chain x{count}
Battle.Miss	Miss
Battle.BandClose	Near
Battle.BandMid	Mid
Battle.BandFar	Far
Battle.HitHigh	High
Battle.HitMid	Mid
Battle.HitLow	Low
Battle.HitVeryLow	Very Low
Battle.PartArm	Arm
Battle.PartLeg	Leg
Battle.PartFront	Front
Battle.PartBack	Back
Battle.PartBody	None
Battle.Leave	Back
Motion.LowSweep	Low Sweep
Motion.Kick	Kick
Motion.ShoulderRam	Shoulder Ram
Motion.HipCheck	Hip Check
Motion.Stomp	Stomp
Motion.Punch	Punch
Motion.Elbow	Elbow
Motion.BellyFlop	Belly Flop
Motion.Headbutt	Headbutt
Motion.Fireball	Fireball
Motion.Bite	Bite
Motion.TailWhip	Tail Whip
Motion.ThunderShock	Thunder Shock
Motion.DiamondDust	Diamond Dust
Motion.SpinTackle	Spin Tackle
Motion.Uppercut	Uppercut
Motion.WindSlasher	Wind Slasher
Motion.BodySlam	Body Slam
Motion.Knee	Knee
Motion.GroundPound	Ground Pound
Motion.Slap	Slap
Motion.Tackle	Tackle
BattlePvp.DisconnectMessage	Connection lost
BattlePvp.DisconnectClose	Close
ModelGallery.Points	{points} pt
ModelGallery.PostConfirm	Post this model?
ModelGallery.Slot	Slot
Enemy.Weak	Weak
Enemy.Normal	Normal
Enemy.Strong	Strong
Enemy.VeryStrong	Very Strong
Enemy.Strongest	Strongest
Training.ModeSelectTitle	Choose a training method
Training.ResumeTitle	Training in progress found
Training.AmbushTitle	Ambush!
Training.AmbushTitleBang	Ambush!
Training.AmbushEnemyDefault	Strong Foe
Training.AmbushMessage	{name} attacks!\nFight or flee?
Training.Complete	Training Complete
Training.Motivation	Motivation 
Training.LearnedHeader	▼ New Move
Training.SwapHeader	▼ Slot to Replace
Training.AttackComposition	▼ Moves
Training.AttackCompositionNone	▼ Moves\nNone
Training.Inheritance	Inheritance
Training.SaveOverwrite	Overwrite trained slot {slot}?
Training.SaveTo	Save to trained slot {slot}
Training.SaveDestNotSelected	No save slot selected
Training.SaveFailed	Failed to save trained data\nUntrained data kept
Training.AmbushStartFailed	Could not start ambush battle
Training.SwapSlotResult	Replaced slot {slot}
Training.ChooseSave	Save To
Training.DeleteConfirm	Delete slot {slot} "{name}"?
Training.ModelNamePlaceholder	Enter model name
Training.TrainedSlot	Trained Slot {index}
SkillTree.SelectNode	Select a node
SkillTree.Unlock	Unlock
SkillTree.Unlocked	Unlocked
SkillTree.PointsShort	Not enough points
SkillTree.BonusHeader	【Bonuses】
SkillTree.StatStartHp	Start HP
SkillTree.StatStartAtk	Start Attack
SkillTree.StatStartDef	Start Defense
SkillTree.StatStartSpd	Start Speed
SkillTree.StatStartHit	Start Hit
SkillTree.StatStartAll	Start All Stats
SkillTree.StatGreatSuccess	Great Success Rate
SkillTree.StatStartMoney	Starting Money
SkillTree.StatTrainMoney	Training Money
SkillTree.StatPoints	Battle Points
SkillTree.StatInherit	Inheritance Boost
SkillTree.StatNone	─
SkillTree.Node.Center.Name	Base HP I
SkillTree.Node.Center.Desc	Training starts with +{0} HP
SkillTree.Node.StartingHp.Name	Base HP II
SkillTree.Node.StartingHp.Desc	Training starts with +{0} HP
SkillTree.Node.StartingHp2.Name	Base HP III
SkillTree.Node.StartingHp2.Desc	Training starts with +{0} HP
SkillTree.Node.StartingHp3.Name	Base HP IV
SkillTree.Node.StartingHp3.Desc	Training starts with +{0} HP
SkillTree.Node.StartingAttack.Name	Base Attack I
SkillTree.Node.StartingAttack.Desc	Training starts with +{0} Attack
SkillTree.Node.StartingAttack2.Name	Base Attack II
SkillTree.Node.StartingAttack2.Desc	Training starts with +{0} Attack
SkillTree.Node.StartingAttack3.Name	Base Attack III
SkillTree.Node.StartingAttack3.Desc	Training starts with +{0} Attack
SkillTree.Node.StartingDefense.Name	Base Defense I
SkillTree.Node.StartingDefense.Desc	Training starts with +{0} Defense
SkillTree.Node.StartingDefense2.Name	Base Defense II
SkillTree.Node.StartingDefense2.Desc	Training starts with +{0} Defense
SkillTree.Node.StartingDefense3.Name	Base Defense III
SkillTree.Node.StartingDefense3.Desc	Training starts with +{0} Defense
SkillTree.Node.StartingSpeed.Name	Base Speed I
SkillTree.Node.StartingSpeed.Desc	Training starts with +{0} Speed
SkillTree.Node.StartingSpeed2.Name	Base Speed II
SkillTree.Node.StartingSpeed2.Desc	Training starts with +{0} Speed
SkillTree.Node.StartingSpeed3.Name	Base Speed III
SkillTree.Node.StartingSpeed3.Desc	Training starts with +{0} Speed
SkillTree.Node.StartingHit.Name	Base Accuracy I
SkillTree.Node.StartingHit.Desc	Training starts with +{0} Accuracy
SkillTree.Node.StartingHit2.Name	Base Accuracy II
SkillTree.Node.StartingHit2.Desc	Training starts with +{0} Accuracy
SkillTree.Node.StartingHit3.Name	Base Accuracy III
SkillTree.Node.StartingHit3.Desc	Training starts with +{0} Accuracy
SkillTree.Node.StartingAll.Name	All-Round I
SkillTree.Node.StartingAll.Desc	Training starts with +{0} to all stats
SkillTree.Node.StartingAll2.Name	All-Round II
SkillTree.Node.StartingAll2.Desc	Training starts with +{0} to all stats
SkillTree.Node.StartingAll3.Name	All-Round III
SkillTree.Node.StartingAll3.Desc	Training starts with +{0} to all stats
SkillTree.Node.GreatSuccess1.Name	Focus I
SkillTree.Node.GreatSuccess1.Desc	Great success rate +{0}%
SkillTree.Node.GreatSuccess2.Name	Focus II
SkillTree.Node.GreatSuccess2.Desc	Great success rate +{0}%
SkillTree.Node.GreatSuccess3.Name	Mastery I
SkillTree.Node.GreatSuccess3.Desc	Great success rate +{0}%
SkillTree.Node.GreatSuccess4.Name	Mastery II
SkillTree.Node.GreatSuccess4.Desc	Great success rate +{0}%
SkillTree.Node.GreatSuccess5.Name	True Mastery
SkillTree.Node.GreatSuccess5.Desc	Great success rate +{0}%
SkillTree.Node.StartingMoney1.Name	Allowance I
SkillTree.Node.StartingMoney1.Desc	Training starts with +{0}G
SkillTree.Node.StartingMoney2.Name	Allowance II
SkillTree.Node.StartingMoney2.Desc	Training starts with +{0}G
SkillTree.Node.StartingMoney3.Name	Saver I
SkillTree.Node.StartingMoney3.Desc	Training starts with +{0}G
SkillTree.Node.StartingMoney4.Name	Saver II
SkillTree.Node.StartingMoney4.Desc	Training starts with +{0}G
SkillTree.Node.TrainingMoney1.Name	Prize Hunter I
SkillTree.Node.TrainingMoney1.Desc	Training money gain +{0}%
SkillTree.Node.TrainingMoney2.Name	Prize Hunter II
SkillTree.Node.TrainingMoney2.Desc	Training money gain +{0}%
SkillTree.Node.TrainingMoney3.Name	Big Deals I
SkillTree.Node.TrainingMoney3.Desc	Training money gain +{0}%
SkillTree.Node.TrainingMoney4.Name	Big Deals II
SkillTree.Node.TrainingMoney4.Desc	Training money gain +{0}%
SkillTree.Node.TrainingMoney5.Name	Commerce Peak
SkillTree.Node.TrainingMoney5.Desc	Training money gain +{0}%
SkillTree.Node.PointsGain1.Name	Battle Smarts I
SkillTree.Node.PointsGain1.Desc	Battle points gain +{0}%
SkillTree.Node.PointsGain2.Name	Battle Smarts II
SkillTree.Node.PointsGain2.Desc	Battle points gain +{0}%
SkillTree.Node.PointsGain3.Name	Battle Peak I
SkillTree.Node.PointsGain3.Desc	Battle points gain +{0}%
SkillTree.Node.PointsGain4.Name	Battle Peak II
SkillTree.Node.PointsGain4.Desc	Battle points gain +{0}%
SkillTree.Node.PointsGain5.Name	Battle Champion
SkillTree.Node.PointsGain5.Desc	Battle points gain +{0}%
SkillTree.Node.Inheritance1.Name	Bloodline I
SkillTree.Node.Inheritance1.Desc	Inheritance stat bonus +{0}%
SkillTree.Node.Inheritance2.Name	Bloodline II
SkillTree.Node.Inheritance2.Desc	Inheritance stat bonus +{0}%
SkillTree.Node.Inheritance3.Name	Bloodline Awaken I
SkillTree.Node.Inheritance3.Desc	Inheritance stat bonus +{0}%
SkillTree.Node.Inheritance4.Name	Bloodline Awaken II
SkillTree.Node.Inheritance4.Desc	Inheritance stat bonus +{0}%
SkillTree.Node.Inheritance5.Name	Bloodline Peak
SkillTree.Node.Inheritance5.Desc	Inheritance stat bonus +{0}%
SkillTree.Node.StartingHp4.Name	Base HP V
SkillTree.Node.StartingHp4.Desc	Training starts with +{0} HP
SkillTree.Node.StartingHp5.Name	Base HP VI
SkillTree.Node.StartingHp5.Desc	Training starts with +{0} HP
SkillTree.Node.StartingHp6.Name	Base HP VII
SkillTree.Node.StartingHp6.Desc	Training starts with +{0} HP
SkillTree.Node.StartingHp7.Name	Base HP VIII
SkillTree.Node.StartingHp7.Desc	Training starts with +{0} HP
SkillTree.Node.StartingAttack4.Name	Base Attack IV
SkillTree.Node.StartingAttack4.Desc	Training starts with +{0} Attack
SkillTree.Node.StartingAttack5.Name	Base Attack V
SkillTree.Node.StartingAttack5.Desc	Training starts with +{0} Attack
SkillTree.Node.StartingAttack6.Name	Base Attack VI
SkillTree.Node.StartingAttack6.Desc	Training starts with +{0} Attack
SkillTree.Node.StartingDefense4.Name	Base Defense IV
SkillTree.Node.StartingDefense4.Desc	Training starts with +{0} Defense
SkillTree.Node.StartingDefense5.Name	Base Defense V
