Common.Return	Volver
Common.Ok	Aceptar
Common.Cancel	Cancelar
Common.Yes	Sí
Common.No	No
Common.Close	Cerrar
Common.Slot	Espacio {index}
Option.Title	Ajustes
Option.Close	Cerrar
Option.Video	【Vídeo】
Option.Audio	【Audio】
Option.Language	【Idioma】
Option.FullScreen	Pantalla completa
Option.VSync	VSync
Option.Music	Música
Option.SoundEffect	SFX
Title.Points	{points} pt
Title.ClayEdit	Editar
Title.BattleNpc	CPU
Title.BattlePvp	JcJ
Title.Training	Entrenar
Title.SkillTree	Skills
Title.ModelGallery	Galeria
Title.Option	Opciones
Title.Quit	Salir
Battle.Draw	Empate
Battle.Victory	¡Gana {winnerName}!
Battle.RangeLabel	Alcance
Battle.Distance	Distancia {distance}
Battle.TipsBody	【Controles】\nAtrás/adelante\nAtaque con botones\nContraataque y romper partes
Battle.TipsEscHint	Esc para ver el tutorial
Battle.HintPartRepair	Mantén RMB para reparar
Battle.HintKnockbackReady	Empuje listo
Battle.HintCounter	¡Contra! Intercepta con {part}
Battle.HintAttackLockout	Enfriamiento de ataque
Battle.HintChain	Cadena x{count}
Battle.Miss	Fallo
Battle.BandClose	Cerca
Battle.BandMid	Media
Battle.BandFar	Lejos
Battle.HitHigh	Alto
Battle.HitMid	Medio
Battle.HitLow	Bajo
Battle.HitVeryLow	Muy bajo
Battle.PartArm	Brazo
Battle.PartLeg	Pierna
Battle.PartFront	Frente
Battle.PartBack	Atrás
Battle.PartBody	Ninguno
Battle.Leave	Volver
Motion.LowSweep	Barrido
Motion.Kick	Patada
Motion.ShoulderRam	Hombro
Motion.HipCheck	Cadera
Motion.Stomp	Pisotón
Motion.Punch	Puñetazo
Motion.Elbow	Codo
Motion.BellyFlop	Aplastamiento
Motion.Headbutt	Cabezazo
Motion.Fireball	Bola de fuego
Motion.Bite	Mordisco
Motion.TailWhip	Coletazo
Motion.ThunderShock	Choque eléctrico
Motion.DiamondDust	Polvo de diamante
Motion.SpinTackle	Embestida giratoria
Motion.Uppercut	Gancho
Motion.WindSlasher	Cuchilla de viento
Motion.BodySlam	Plancha
Motion.Knee	Rodillazo
Motion.GroundPound	Golpe de suelo
Motion.Slap	Bofetada
Motion.Tackle	Embestida
BattlePvp.DisconnectMessage	Conexión perdida
BattlePvp.DisconnectClose	Cerrar
ModelGallery.Points	{points} pt
ModelGallery.PostConfirm	¿Publicar este modelo?
ModelGallery.Slot	Espacio
Enemy.Weak	Débil
Enemy.Normal	Normal
Enemy.Strong	Fuerte
Enemy.VeryStrong	Muy fuerte
Training.ModeSelectTitle	Elige un método
Training.ResumeTitle	Entrenamiento en curso
Training.AmbushTitle	¡Emboscada!
Training.AmbushTitleBang	¡Emboscada!
Training.AmbushEnemyDefault	Enemigo
Training.AmbushMessage	¡{name} ataca!\n¿Luchar o huir?
Training.Complete	Entrenamiento completo
Training.Motivation	Motivación 
Training.LearnedHeader	▼ Técnica aprendida
Training.SwapHeader	▼ Espacio a reemplazar
Training.AttackComposition	▼ Técnicas
Training.AttackCompositionNone	▼ Técnicas\nNinguna
Training.Inheritance	Herencia
Training.SaveOverwrite	Sobrescribir espacio {slot}
Training.SaveTo	Guardar en espacio {slot}
Training.SaveDestNotSelected	No se eligió espacio
Training.SaveFailed	Error al guardar\nSe conservan datos sin entrenar
Training.AmbushStartFailed	No se pudo iniciar emboscada
Training.SwapSlotResult	Espacio {slot} reemplazado
Training.ChooseSave	Hueco
Training.DeleteConfirm	¿Eliminar ranura {slot} «{name}»?
Training.ModelNamePlaceholder	Nombre del modelo
Training.TrainedSlot	Espacio entrenado {index}
SkillTree.SelectNode	Selecciona un nodo
SkillTree.Unlock	Libre
SkillTree.Unlocked	Desbloqueado
SkillTree.PointsShort	Puntos insuficientes
SkillTree.BonusHeader	【Bonos】
SkillTree.StatStartHp	PV inicial
SkillTree.StatStartAtk	Ataque inicial
SkillTree.StatStartDef	Defensa inicial
SkillTree.StatStartSpd	Velocidad inicial
SkillTree.StatStartHit	Acierto inicial
SkillTree.StatStartAll	Todas stats inicio
SkillTree.StatGreatSuccess	Gran éxito
SkillTree.StatStartMoney	Dinero inicial
SkillTree.StatTrainMoney	Dinero de entrenamiento
SkillTree.StatPoints	Puntos de combate
SkillTree.StatInherit	Bonificación de herencia
SkillTree.StatNone	─
SkillTree.Node.Center.Name	PS base I
SkillTree.Node.Center.Desc	El entrenamiento empieza con +{0} PS
SkillTree.Node.StartingHp.Name	PS base II
SkillTree.Node.StartingHp.Desc	El entrenamiento empieza con +{0} PS
SkillTree.Node.StartingHp2.Name	PS base III
SkillTree.Node.StartingHp2.Desc	El entrenamiento empieza con +{0} PS
SkillTree.Node.StartingHp3.Name	PS base IV
SkillTree.Node.StartingHp3.Desc	El entrenamiento empieza con +{0} PS
SkillTree.Node.StartingAttack.Name	Ataque base I
SkillTree.Node.StartingAttack.Desc	El entrenamiento empieza con +{0} Ataque
SkillTree.Node.StartingAttack2.Name	Ataque base II
SkillTree.Node.StartingAttack2.Desc	El entrenamiento empieza con +{0} Ataque
SkillTree.Node.StartingAttack3.Name	Ataque base III
SkillTree.Node.StartingAttack3.Desc	El entrenamiento empieza con +{0} Ataque
SkillTree.Node.StartingDefense.Name	Defensa base I
SkillTree.Node.StartingDefense.Desc	El entrenamiento empieza con +{0} Defensa
SkillTree.Node.StartingDefense2.Name	Defensa base II
SkillTree.Node.StartingDefense2.Desc	El entrenamiento empieza con +{0} Defensa
SkillTree.Node.StartingDefense3.Name	Defensa base III
SkillTree.Node.StartingDefense3.Desc	El entrenamiento empieza con +{0} Defensa
SkillTree.Node.StartingSpeed.Name	Velocidad base I
SkillTree.Node.StartingSpeed.Desc	El entrenamiento empieza con +{0} Velocidad
SkillTree.Node.StartingSpeed2.Name	Velocidad base II
SkillTree.Node.StartingSpeed2.Desc	El entrenamiento empieza con +{0} Velocidad
SkillTree.Node.StartingSpeed3.Name	Velocidad base III
SkillTree.Node.StartingSpeed3.Desc	El entrenamiento empieza con +{0} Velocidad
SkillTree.Node.StartingHit.Name	Precisión base I
SkillTree.Node.StartingHit.Desc	El entrenamiento empieza con +{0} Precisión
SkillTree.Node.StartingHit2.Name	Precisión base II
SkillTree.Node.StartingHit2.Desc	El entrenamiento empieza con +{0} Precisión
SkillTree.Node.StartingHit3.Name	Precisión base III
SkillTree.Node.StartingHit3.Desc	El entrenamiento empieza con +{0} Precisión
SkillTree.Node.StartingAll.Name	Integral I
SkillTree.Node.StartingAll.Desc	El entrenamiento empieza con +{0} a todas las stats
SkillTree.Node.StartingAll2.Name	Integral II
SkillTree.Node.StartingAll2.Desc	El entrenamiento empieza con +{0} a todas las stats
SkillTree.Node.StartingAll3.Name	Integral III
SkillTree.Node.StartingAll3.Desc	El entrenamiento empieza con +{0} a todas las stats
SkillTree.Node.GreatSuccess1.Name	Concentración I
SkillTree.Node.GreatSuccess1.Desc	Tasa de gran éxito +{0}%
SkillTree.Node.GreatSuccess2.Name	Concentración II
SkillTree.Node.GreatSuccess2.Desc	Tasa de gran éxito +{0}%
SkillTree.Node.GreatSuccess3.Name	Maestría I
SkillTree.Node.GreatSuccess3.Desc	Tasa de gran éxito +{0}%
SkillTree.Node.GreatSuccess4.Name	Maestría II
SkillTree.Node.GreatSuccess4.Desc	Tasa de gran éxito +{0}%
SkillTree.Node.GreatSuccess5.Name	Verdadera maestría
SkillTree.Node.GreatSuccess5.Desc	Tasa de gran éxito +{0}%
SkillTree.Node.StartingMoney1.Name	Mesada I
SkillTree.Node.StartingMoney1.Desc	El entrenamiento empieza con +{0}G
SkillTree.Node.StartingMoney2.Name	Mesada II
SkillTree.Node.StartingMoney2.Desc	El entrenamiento empieza con +{0}G
SkillTree.Node.StartingMoney3.Name	Ahorrador I
SkillTree.Node.StartingMoney3.Desc	El entrenamiento empieza con +{0}G
SkillTree.Node.StartingMoney4.Name	Ahorrador II
SkillTree.Node.StartingMoney4.Desc	El entrenamiento empieza con +{0}G
SkillTree.Node.TrainingMoney1.Name	Cazapremios I
SkillTree.Node.TrainingMoney1.Desc	Dinero de entrenamiento +{0}%
SkillTree.Node.TrainingMoney2.Name	Cazapremios II
SkillTree.Node.TrainingMoney2.Desc	Dinero de entrenamiento +{0}%
SkillTree.Node.TrainingMoney3.Name	Grandes tratos I
SkillTree.Node.TrainingMoney3.Desc	Dinero de entrenamiento +{0}%
SkillTree.Node.TrainingMoney4.Name	Grandes tratos II
SkillTree.Node.TrainingMoney4.Desc	Dinero de entrenamiento +{0}%
SkillTree.Node.TrainingMoney5.Name	Cúspide del comercio
SkillTree.Node.TrainingMoney5.Desc	Dinero de entrenamiento +{0}%
SkillTree.Node.PointsGain1.Name	Sabiduría de combate I
SkillTree.Node.PointsGain1.Desc	Puntos de combate +{0}%
SkillTree.Node.PointsGain2.Name	Sabiduría de combate II
SkillTree.Node.PointsGain2.Desc	Puntos de combate +{0}%
SkillTree.Node.PointsGain3.Name	Cúspide de combate I
SkillTree.Node.PointsGain3.Desc	Puntos de combate +{0}%
SkillTree.Node.PointsGain4.Name	Cúspide de combate II
SkillTree.Node.PointsGain4.Desc	Puntos de combate +{0}%
SkillTree.Node.PointsGain5.Name	Campeón de combate
SkillTree.Node.PointsGain5.Desc	Puntos de combate +{0}%
SkillTree.Node.Inheritance1.Name	Linaje I
SkillTree.Node.Inheritance1.Desc	Bonus de herencia +{0}%
SkillTree.Node.Inheritance2.Name	Linaje II
SkillTree.Node.Inheritance2.Desc	Bonus de herencia +{0}%
SkillTree.Node.Inheritance3.Name	Despertar de linaje I
SkillTree.Node.Inheritance3.Desc	Bonus de herencia +{0}%
SkillTree.Node.Inheritance4.Name	Despertar de linaje II
SkillTree.Node.Inheritance4.Desc	Bonus de herencia +{0}%
SkillTree.Node.Inheritance5.Name	Cúspide del linaje
SkillTree.Node.Inheritance5.Desc	Bonus de herencia +{0}%
SkillTree.Node.StartingHp4.Name	PS base V
SkillTree.Node.StartingHp4.Desc	El entrenamiento empieza con +{0} PS
SkillTree.Node.StartingHp5.Name	PS base VI
SkillTree.Node.StartingHp5.Desc	El entrenamiento empieza con +{0} PS
SkillTree.Node.StartingHp6.Name	PS base VII
SkillTree.Node.StartingHp6.Desc	El entrenamiento empieza con +{0} PS
SkillTree.Node.StartingHp7.Name	PS base VIII
SkillTree.Node.StartingHp7.Desc	El entrenamiento empieza con +{0} PS
SkillTree.Node.StartingAttack4.Name	Ataque base IV
SkillTree.Node.StartingAttack4.Desc	El entrenamiento empieza con +{0} Ataque
SkillTree.Node.StartingAttack5.Name	Ataque base V
SkillTree.Node.StartingAttack5.Desc	El entrenamiento empieza con +{0} Ataque
SkillTree.Node.StartingAttack6.Name	Ataque base VI
SkillTree.Node.StartingAttack6.Desc	El entrenamiento empieza con +{0} Ataque
SkillTree.Node.StartingDefense4.Name	Defensa base IV
SkillTree.Node.StartingDefense4.Desc	El entrenamiento empieza con +{0} Defensa
SkillTree.Node.StartingDefense5.Name	Defensa base V
SkillTree.Node.StartingDefense5.Desc	El entrenamiento empieza con +{0} Defensa
SkillTree.Node.StartingDefense6.Name	Defensa base VI
SkillTree.Node.StartingDefense6.Desc	El entrenamiento empieza con +{0} Defensa
SkillTree.Node.StartingSpeed4.Name	Velocidad base IV
SkillTree.Node.StartingSpeed4.Desc	El entrenamiento empieza con +{0} Velocidad
SkillTree.Node.StartingSpeed5.Name	Velocidad base V
SkillTree.Node.StartingSpeed5.Desc	El entrenamiento empieza con +{0} Velocidad
SkillTree.Node.StartingSpeed6.Name	Velocidad base VI
SkillTree.Node.StartingSpeed6.Desc	El entrenamiento empieza con +{0} Velocidad
SkillTree.Node.StartingHit4.Name	Precisión base IV
SkillTree.Node.StartingHit4.Desc	El entrenamiento empieza con +{0} Precisión
SkillTree.Node.StartingHit5.Name	Precisión base V
SkillTree.Node.StartingHit5.Desc	El entrenamiento empieza con +{0} Precisión
SkillTree.Node.StartingHit6.Name	Precisión base VI
SkillTree.Node.StartingHit6.Desc	El entrenamiento empieza con +{0} Precisión
SkillTree.Node.StartingAll4.Name	Integral IV
SkillTree.Node.StartingAll4.Desc	El entrenamiento empieza con +{0} a todas las stats
SkillTree.Node.StartingAll5.Name	Integral V
SkillTree.Node.StartingAll5.Desc	El entrenamiento empieza con +{0} a todas las stats
SkillTree.Node.GreatSuccess6.Name	Maestría III
SkillTree.Node.GreatSuccess6.Desc	Tasa de gran éxito +{0}%
SkillTree.Node.GreatSuccess7.Name	Experto I
SkillTree.Node.GreatSuccess7.Desc	Tasa de gran éxito +{0}%
SkillTree.Node.GreatSuccess8.Name	Experto II
SkillTree.Node.GreatSuccess8.Desc	Tasa de gran éxito +{0}%
SkillTree.Node.GreatSuccess9.Name	Arte oculto I
SkillTree.Node.GreatSuccess9.Desc	Tasa de gran éxito +{0}%
SkillTree.Node.GreatSuccess10.Name	Arte oculto II
SkillTree.Node.GreatSuccess10.Desc	Tasa de gran éxito +{0}%
SkillTree.Node.StartingMoney5.Name	Ahorrador III
SkillTree.Node.StartingMoney5.Desc	El entrenamiento empieza con +{0}G
SkillTree.Node.StartingMoney6.Name	Fortuna I
SkillTree.Node.StartingMoney6.Desc	El entrenamiento empieza con +{0}G
SkillTree.Node.StartingMoney7.Name	Fortuna II
SkillTree.Node.StartingMoney7.Desc	El entrenamiento empieza con +{0}G
SkillTree.Node.StartingMoney8.Name	Fortuna III
SkillTree.Node.StartingMoney8.Desc	El entrenamiento empieza con +{0}G
