Common.Return	Retour
Common.Ok	OK
Common.Cancel	Annuler
Common.Yes	Oui
Common.No	Non
Common.Close	Fermer
Common.Slot	Emplacement {index}
Option.Title	Paramètres
Option.Close	Fermer
Option.Video	【Vidéo】
Option.Audio	【Audio】
Option.Language	【Langue】
Option.FullScreen	Plein écran
Option.VSync	VSync
Option.Music	Musique
Option.SoundEffect	SFX
Title.Points	{points} pt
Title.ClayEdit	Editer
Title.BattleNpc	CPU
Title.BattlePvp	JcJ
Title.Training	Entrain.
Title.SkillTree	Skills
Title.ModelGallery	Galerie
Title.Option	Options
Title.Quit	Quitter
Battle.Draw	Match nul
Battle.Victory	{winnerName} gagne !
Battle.RangeLabel	Portée
Battle.Distance	Distance {distance}
Battle.TipsBody	【Commandes】\nReculer/s'approcher\nAttaquer avec les boutons\nContre et destruction de parties
Battle.TipsEscHint	Échap pour le tutoriel
Battle.HintPartRepair	Clic droit maintenu pour réparer
Battle.HintKnockbackReady	Repoussement prêt
Battle.HintCounter	Contre ! Intercepter avec {part}
Battle.HintAttackLockout	Recharge d'attaque
Battle.HintChain	Chaîne x{count}
Battle.Miss	Raté
Battle.BandClose	Proche
Battle.BandMid	Moyenne
Battle.BandFar	Loin
Battle.HitHigh	Élevé
Battle.HitMid	Moyen
Battle.HitLow	Faible
Battle.HitVeryLow	Très faible
Battle.PartArm	Bras
Battle.PartLeg	Jambe
Battle.PartFront	Avant
Battle.PartBack	Arrière
Battle.PartBody	Aucun
Battle.Leave	Retour
Motion.LowSweep	Balayage
Motion.Kick	Kick
Motion.ShoulderRam	Épaule
Motion.HipCheck	Hanche
Motion.Stomp	Stomp
Motion.Punch	Punch
Motion.Elbow	Elbow
Motion.BellyFlop	Écrasement
Motion.Headbutt	Coup de tête
Motion.Fireball	Boule de feu
Motion.Bite	Morsure
Motion.TailWhip	Fouet de queue
Motion.ThunderShock	Choc électrique
Motion.DiamondDust	Poussière de diamant
Motion.SpinTackle	Tacle tournoyant
Motion.Uppercut	Uppercut
Motion.WindSlasher	Lame de vent
Motion.BodySlam	Plaquage
Motion.Knee	Genou
Motion.GroundPound	Frappe au sol
Motion.Slap	Gifle
Motion.Tackle	Tacle
BattlePvp.DisconnectMessage	Connexion perdue
BattlePvp.DisconnectClose	Fermer
ModelGallery.Points	{points} pt
ModelGallery.PostConfirm	Publier ce modèle ?
ModelGallery.Slot	Emplacement
Enemy.Weak	Faible
Enemy.Normal	Normal
Enemy.Strong	Fort
Enemy.VeryStrong	Très fort
Enemy.Strongest	Le plus fort
Training.ModeSelectTitle	Choisissez une méthode
Training.ResumeTitle	Entraînement en cours trouvé
Training.AmbushTitle	Embuscade !
Training.AmbushTitleBang	Embuscade !
Training.AmbushEnemyDefault	Adversaire
Training.AmbushMessage	{name} attaque !\nCombattre ou fuir ?
Training.Complete	Entraînement terminé
Training.Motivation	Motivation 
Training.LearnedHeader	▼ Technique apprise
Training.SwapHeader	▼ Emplacement à remplacer
Training.AttackComposition	▼ Techniques
Training.AttackCompositionNone	▼ Techniques\nAucune
Training.Inheritance	Héritage
Training.SaveOverwrite	Écraser l'emplacement {slot}
Training.SaveTo	Enregistrer dans l'emplacement {slot}
Training.SaveDestNotSelected	Aucun emplacement choisi
Training.SaveFailed	Échec de la sauvegarde\nDonnées non entraînées conservées
Training.AmbushStartFailed	Impossible de lancer l'embuscade
Training.SwapSlotResult	Emplacement {slot} remplacé
Training.ChooseSave	Empl.
Training.DeleteConfirm	Supprimer l'emplacement {slot} «{name}» ?
Training.ModelNamePlaceholder	Nom du modèle
Training.TrainedSlot	Emplacement entraîné {index}
SkillTree.SelectNode	Sélectionnez un nœud
SkillTree.Unlock	Debloq.
SkillTree.Unlocked	Débloqué
SkillTree.PointsShort	Points insuffisants
SkillTree.BonusHeader	【Bonus】
SkillTree.StatStartHp	PV de départ
SkillTree.StatStartAtk	Attaque de départ
SkillTree.StatStartDef	Défense de départ
SkillTree.StatStartSpd	Vitesse de départ
SkillTree.StatStartHit	Précision de départ
SkillTree.StatStartAll	Toutes stats départ
SkillTree.StatGreatSuccess	Grand succès
SkillTree.StatStartMoney	Argent de départ
SkillTree.StatTrainMoney	Argent d'entraînement
SkillTree.StatPoints	Points de combat
SkillTree.StatInherit	Bonus d'héritage
SkillTree.StatNone	─
SkillTree.Node.Center.Name	PV de base I
SkillTree.Node.Center.Desc	L'entraînement commence avec +{0} PV
SkillTree.Node.StartingHp.Name	PV de base II
SkillTree.Node.StartingHp.Desc	L'entraînement commence avec +{0} PV
SkillTree.Node.StartingHp2.Name	PV de base III
SkillTree.Node.StartingHp2.Desc	L'entraînement commence avec +{0} PV
SkillTree.Node.StartingHp3.Name	PV de base IV
SkillTree.Node.StartingHp3.Desc	L'entraînement commence avec +{0} PV
SkillTree.Node.StartingAttack.Name	Attaque de base I
SkillTree.Node.StartingAttack.Desc	L'entraînement commence avec +{0} Attaque
SkillTree.Node.StartingAttack2.Name	Attaque de base II
SkillTree.Node.StartingAttack2.Desc	L'entraînement commence avec +{0} Attaque
SkillTree.Node.StartingAttack3.Name	Attaque de base III
SkillTree.Node.StartingAttack3.Desc	L'entraînement commence avec +{0} Attaque
SkillTree.Node.StartingDefense.Name	Défense de base I
SkillTree.Node.StartingDefense.Desc	L'entraînement commence avec +{0} Défense
SkillTree.Node.StartingDefense2.Name	Défense de base II
SkillTree.Node.StartingDefense2.Desc	L'entraînement commence avec +{0} Défense
SkillTree.Node.StartingDefense3.Name	Défense de base III
SkillTree.Node.StartingDefense3.Desc	L'entraînement commence avec +{0} Défense
SkillTree.Node.StartingSpeed.Name	Vitesse de base I
SkillTree.Node.StartingSpeed.Desc	L'entraînement commence avec +{0} Vitesse
SkillTree.Node.StartingSpeed2.Name	Vitesse de base II
SkillTree.Node.StartingSpeed2.Desc	L'entraînement commence avec +{0} Vitesse
SkillTree.Node.StartingSpeed3.Name	Vitesse de base III
SkillTree.Node.StartingSpeed3.Desc	L'entraînement commence avec +{0} Vitesse
SkillTree.Node.StartingHit.Name	Précision de base I
SkillTree.Node.StartingHit.Desc	L'entraînement commence avec +{0} Précision
SkillTree.Node.StartingHit2.Name	Précision de base II
SkillTree.Node.StartingHit2.Desc	L'entraînement commence avec +{0} Précision
SkillTree.Node.StartingHit3.Name	Précision de base III
SkillTree.Node.StartingHit3.Desc	L'entraînement commence avec +{0} Précision
SkillTree.Node.StartingAll.Name	Polyvalent I
SkillTree.Node.StartingAll.Desc	L'entraînement commence avec +{0} à tous les stats
SkillTree.Node.StartingAll2.Name	Polyvalent II
SkillTree.Node.StartingAll2.Desc	L'entraînement commence avec +{0} à tous les stats
SkillTree.Node.StartingAll3.Name	Polyvalent III
SkillTree.Node.StartingAll3.Desc	L'entraînement commence avec +{0} à tous les stats
SkillTree.Node.GreatSuccess1.Name	Concentration I
SkillTree.Node.GreatSuccess1.Desc	Taux de grand succès +{0}%
SkillTree.Node.GreatSuccess2.Name	Concentration II
SkillTree.Node.GreatSuccess2.Desc	Taux de grand succès +{0}%
SkillTree.Node.GreatSuccess3.Name	Maîtrise I
SkillTree.Node.GreatSuccess3.Desc	Taux de grand succès +{0}%
SkillTree.Node.GreatSuccess4.Name	Maîtrise II
SkillTree.Node.GreatSuccess4.Desc	Taux de grand succès +{0}%
SkillTree.Node.GreatSuccess5.Name	Maîtrise suprême
SkillTree.Node.GreatSuccess5.Desc	Taux de grand succès +{0}%
SkillTree.Node.StartingMoney1.Name	Argent de poche I
SkillTree.Node.StartingMoney1.Desc	L'entraînement commence avec +{0}G
SkillTree.Node.StartingMoney2.Name	Argent de poche II
SkillTree.Node.StartingMoney2.Desc	L'entraînement commence avec +{0}G
SkillTree.Node.StartingMoney3.Name	Économe I
SkillTree.Node.StartingMoney3.Desc	L'entraînement commence avec +{0}G
SkillTree.Node.StartingMoney4.Name	Économe II
SkillTree.Node.StartingMoney4.Desc	L'entraînement commence avec +{0}G
SkillTree.Node.TrainingMoney1.Name	Chasseur de primes I
SkillTree.Node.TrainingMoney1.Desc	Gains d'argent à l'entraînement +{0}%
SkillTree.Node.TrainingMoney2.Name	Chasseur de primes II
SkillTree.Node.TrainingMoney2.Desc	Gains d'argent à l'entraînement +{0}%
SkillTree.Node.TrainingMoney3.Name	Gros contrats I
SkillTree.Node.TrainingMoney3.Desc	Gains d'argent à l'entraînement +{0}%
SkillTree.Node.TrainingMoney4.Name	Gros contrats II
SkillTree.Node.TrainingMoney4.Desc	Gains d'argent à l'entraînement +{0}%
SkillTree.Node.TrainingMoney5.Name	Sommet du commerce
SkillTree.Node.TrainingMoney5.Desc	Gains d'argent à l'entraînement +{0}%
SkillTree.Node.PointsGain1.Name	Sagesse de combat I
SkillTree.Node.PointsGain1.Desc	Points de combat +{0}%
SkillTree.Node.PointsGain2.Name	Sagesse de combat II
SkillTree.Node.PointsGain2.Desc	Points de combat +{0}%
SkillTree.Node.PointsGain3.Name	Pic de combat I
SkillTree.Node.PointsGain3.Desc	Points de combat +{0}%
SkillTree.Node.PointsGain4.Name	Pic de combat II
SkillTree.Node.PointsGain4.Desc	Points de combat +{0}%
SkillTree.Node.PointsGain5.Name	Champion de combat
SkillTree.Node.PointsGain5.Desc	Points de combat +{0}%
SkillTree.Node.Inheritance1.Name	Lignage I
SkillTree.Node.Inheritance1.Desc	Bonus d'héritage +{0}%
SkillTree.Node.Inheritance2.Name	Lignage II
SkillTree.Node.Inheritance2.Desc	Bonus d'héritage +{0}%
SkillTree.Node.Inheritance3.Name	Éveil du lignage I
SkillTree.Node.Inheritance3.Desc	Bonus d'héritage +{0}%
SkillTree.Node.Inheritance4.Name	Éveil du lignage II
SkillTree.Node.Inheritance4.Desc	Bonus d'héritage +{0}%
SkillTree.Node.Inheritance5.Name	Sommet du lignage
SkillTree.Node.Inheritance5.Desc	Bonus d'héritage +{0}%
SkillTree.Node.StartingHp4.Name	PV de base V
SkillTree.Node.StartingHp4.Desc	L'entraînement commence avec +{0} PV
SkillTree.Node.StartingHp5.Name	PV de base VI
SkillTree.Node.StartingHp5.Desc	L'entraînement commence avec +{0} PV
SkillTree.Node.StartingHp6.Name	PV de base VII
SkillTree.Node.StartingHp6.Desc	L'entraînement commence avec +{0} PV
SkillTree.Node.StartingHp7.Name	PV de base VIII
SkillTree.Node.StartingHp7.Desc	L'entraînement commence avec +{0} PV
SkillTree.Node.StartingAttack4.Name	Attaque de base IV
SkillTree.Node.StartingAttack4.Desc	L'entraînement commence avec +{0} Attaque
SkillTree.Node.StartingAttack5.Name	Attaque de base V
SkillTree.Node.StartingAttack5.Desc	L'entraînement commence avec +{0} Attaque
SkillTree.Node.StartingAttack6.Name	Attaque de base VI
