Common.Return	뒤로
Common.Ok	확인
Common.Cancel	취소
Common.Yes	예
Common.No	아니오
Common.Close	닫기
Common.Slot	슬롯{index}
Option.Title	설정
Option.Close	닫기
Option.Video	【비디오】
Option.Audio	【오디오】
Option.Language	【언어】
Option.FullScreen	전체화면
Option.VSync	수직 동기화
Option.Music	음악
Option.SoundEffect	효과음
Title.Points	{points} pt
Title.PointsTooltip	전투로 모이는 포인트.\n스킬 트리와 전시실에서 사용 가능
Title.ClayEdit	편집
Title.BattleNpc	CPU
Title.BattlePvp	대전
Title.Training	육성
Title.SkillTree	스킬
Title.ModelGallery	전시
Title.Option	설정
Title.DesktopPet	데스크톱 펫
Title.Quit	종료
Battle.Draw	무승부
Battle.Victory	{winnerName} 승리!
Battle.RangeLabel	사거리
Battle.Distance	거리 {distance}
Battle.TipsBody	【조작】\n후퇴/접근으로 이동\n기술 버튼으로 공격\n카운터와 부위 파괴 활용
Battle.TipsEscHint	Esc로 튜토리얼 표시
Battle.HintPartRepair	우클릭 길게 눌러 부위 복구
Battle.HintKnockbackReady	날리기 가능
Battle.HintCounter	카운터! {part} 기술로 요격
Battle.HintAttackLockout	공격 쿨타임 중
Battle.HintChain	체인 x{count}
Battle.Miss	미스
Battle.BandClose	근거리
Battle.BandMid	중거리
Battle.BandFar	원거리
Battle.HitHigh	높음
Battle.HitMid	중간
Battle.HitLow	낮음
Battle.HitVeryLow	매우 낮음
Battle.PartArm	팔
Battle.PartLeg	다리
Battle.PartFront	앞
Battle.PartBack	뒤
Battle.PartBody	없음
Battle.Leave	뒤로
Motion.LowSweep	다리 걸기
Motion.Kick	킥
Motion.ShoulderRam	숄더
Motion.HipCheck	힙체크
Motion.Stomp	스톰프
Motion.Punch	펀치
Motion.Elbow	엘보
Motion.BellyFlop	깔아뭉개기
Motion.Headbutt	박치기
Motion.Fireball	파이어볼
Motion.Bite	물기
Motion.TailWhip	꼬리 공격
Motion.ThunderShock	선더 쇼크
Motion.DiamondDust	다이아몬드 더스트
Motion.SpinTackle	회전 태클
Motion.Uppercut	어퍼컷
Motion.WindSlasher	윈드 슬래셔
Motion.BodySlam	바디슬램
Motion.Knee	무릎차기
Motion.GroundPound	그라운드 파운드
Motion.Slap	후려치기
Motion.Tackle	태클
BattlePvp.DisconnectMessage	연결이 끊어졌습니다
BattlePvp.DisconnectClose	닫기
ModelGallery.Points	{points} pt
ModelGallery.PostConfirm	이 모델을 게시할까요?
ModelGallery.Slot	슬롯
Enemy.Weak	약함
Enemy.Normal	보통
Enemy.Strong	강함
Enemy.VeryStrong	매우 강함
Enemy.Strongest	최강
Training.ModeSelectTitle	육성 방법을 선택하세요
Training.ResumeTitle	진행 중인 육성 데이터가 있습니다
Training.AmbushTitle	강적 습격
Training.AmbushTitleBang	강적 습격!
Training.AmbushEnemyDefault	강적
Training.AmbushMessage	{name}이(가) 습격했습니다\n싸울지 도망칠지 선택하세요
Training.Complete	육성 완료
Training.Motivation	의욕 
Training.LearnedHeader	▼ 습득 기술
Training.SwapHeader	▼ 교체할 슬롯
Training.AttackComposition	▼ 기술 구성
Training.AttackCompositionNone	▼ 기술 구성\n없음
Training.Inheritance	계승
Training.SaveOverwrite	육성 완료 슬롯 {slot} 데이터를 덮어씁니다
Training.SaveTo	육성 완료 슬롯 {slot}에 저장합니다
Training.SaveDestNotSelected	저장 슬롯이 선택되지 않았습니다
Training.SaveFailed	육성 데이터 저장 실패\n미육성 데이터는 유지됩니다
Training.AmbushStartFailed	강적 습격 전투를 시작할 수 없습니다
Training.SwapSlotResult	슬롯 {slot} 교체
Training.ChooseSave	저장처
Training.DeleteConfirm	슬롯 {slot} 「{name}」을(를) 삭제할까요?
Training.ModelNamePlaceholder	모델 이름 입력
Training.TrainedSlot	육성 완료 슬롯 {index}
SkillTree.SelectNode	노드를 선택하세요
SkillTree.Unlock	해금
SkillTree.Unlocked	해방됨
SkillTree.PointsShort	포인트가 부족합니다
SkillTree.BonusHeader	【획득 효과】
SkillTree.StatStartHp	시작 HP
SkillTree.StatStartAtk	시작 공격
SkillTree.StatStartDef	시작 방어
SkillTree.StatStartSpd	시작 속도
SkillTree.StatStartHit	시작 명중
SkillTree.StatStartAll	시작 전스탯
SkillTree.StatGreatSuccess	대성공률
SkillTree.StatStartMoney	시작 소지금
SkillTree.StatTrainMoney	육성 획득금
SkillTree.StatPoints	대전 포인트
SkillTree.StatInherit	계승 상승
SkillTree.StatNone	─
SkillTree.Node.Center.Name	기초 체력 I
SkillTree.Node.Center.Desc	육성 시작 시 HP +{0}
SkillTree.Node.StartingHp.Name	기초 체력 II
SkillTree.Node.StartingHp.Desc	육성 시작 시 HP +{0}
SkillTree.Node.StartingHp2.Name	기초 체력 III
SkillTree.Node.StartingHp2.Desc	육성 시작 시 HP +{0}
SkillTree.Node.StartingHp3.Name	기초 체력 IV
SkillTree.Node.StartingHp3.Desc	육성 시작 시 HP +{0}
SkillTree.Node.StartingAttack.Name	기초 공격 I
SkillTree.Node.StartingAttack.Desc	육성 시작 시 공격 +{0}
SkillTree.Node.StartingAttack2.Name	기초 공격 II
SkillTree.Node.StartingAttack2.Desc	육성 시작 시 공격 +{0}
SkillTree.Node.StartingAttack3.Name	기초 공격 III
SkillTree.Node.StartingAttack3.Desc	육성 시작 시 공격 +{0}
SkillTree.Node.StartingDefense.Name	기초 방어 I
SkillTree.Node.StartingDefense.Desc	육성 시작 시 방어 +{0}
SkillTree.Node.StartingDefense2.Name	기초 방어 II
SkillTree.Node.StartingDefense2.Desc	육성 시작 시 방어 +{0}
SkillTree.Node.StartingDefense3.Name	기초 방어 III
SkillTree.Node.StartingDefense3.Desc	육성 시작 시 방어 +{0}
SkillTree.Node.StartingSpeed.Name	기초 속도 I
SkillTree.Node.StartingSpeed.Desc	육성 시작 시 속도 +{0}
SkillTree.Node.StartingSpeed2.Name	기초 속도 II
SkillTree.Node.StartingSpeed2.Desc	육성 시작 시 속도 +{0}
SkillTree.Node.StartingSpeed3.Name	기초 속도 III
SkillTree.Node.StartingSpeed3.Desc	육성 시작 시 속도 +{0}
SkillTree.Node.StartingHit.Name	기초 명중 I
SkillTree.Node.StartingHit.Desc	육성 시작 시 명중 +{0}
SkillTree.Node.StartingHit2.Name	기초 명중 II
SkillTree.Node.StartingHit2.Desc	육성 시작 시 명중 +{0}
SkillTree.Node.StartingHit3.Name	기초 명중 III
SkillTree.Node.StartingHit3.Desc	육성 시작 시 명중 +{0}
SkillTree.Node.StartingAll.Name	종합 강화 I
SkillTree.Node.StartingAll.Desc	육성 시작 시 전 스탯 +{0}
SkillTree.Node.StartingAll2.Name	종합 강화 II
SkillTree.Node.StartingAll2.Desc	육성 시작 시 전 스탯 +{0}
SkillTree.Node.StartingAll3.Name	종합 강화 III
SkillTree.Node.StartingAll3.Desc	육성 시작 시 전 스탯 +{0}
SkillTree.Node.GreatSuccess1.Name	집중력 I
SkillTree.Node.GreatSuccess1.Desc	훈련 대성공 확률 +{0}%
SkillTree.Node.GreatSuccess2.Name	집중력 II
SkillTree.Node.GreatSuccess2.Desc	훈련 대성공 확률 +{0}%
SkillTree.Node.GreatSuccess3.Name	숙련 I
SkillTree.Node.GreatSuccess3.Desc	훈련 대성공 확률 +{0}%
SkillTree.Node.GreatSuccess4.Name	숙련 II
SkillTree.Node.GreatSuccess4.Desc	훈련 대성공 확률 +{0}%
SkillTree.Node.GreatSuccess5.Name	달인의 경지
SkillTree.Node.GreatSuccess5.Desc	훈련 대성공 확률 +{0}%
SkillTree.Node.StartingMoney1.Name	용돈 I
SkillTree.Node.StartingMoney1.Desc	육성 시작 시 소지금 +{0}G
SkillTree.Node.StartingMoney2.Name	용돈 II
SkillTree.Node.StartingMoney2.Desc	육성 시작 시 소지금 +{0}G
SkillTree.Node.StartingMoney3.Name	저축 고수 I
SkillTree.Node.StartingMoney3.Desc	육성 시작 시 소지금 +{0}G
SkillTree.Node.StartingMoney4.Name	저축 고수 II
SkillTree.Node.StartingMoney4.Desc	육성 시작 시 소지금 +{0}G
SkillTree.Node.TrainingMoney1.Name	상금 사냥꾼 I
SkillTree.Node.TrainingMoney1.Desc	육성 중 획득 금 +{0}%
SkillTree.Node.TrainingMoney2.Name	상금 사냥꾼 II
SkillTree.Node.TrainingMoney2.Desc	육성 중 획득 금 +{0}%
SkillTree.Node.TrainingMoney3.Name	대형 거래 I
SkillTree.Node.TrainingMoney3.Desc	육성 중 획득 금 +{0}%
SkillTree.Node.TrainingMoney4.Name	대형 거래 II
SkillTree.Node.TrainingMoney4.Desc	육성 중 획득 금 +{0}%
SkillTree.Node.TrainingMoney5.Name	장사의 극치
SkillTree.Node.TrainingMoney5.Desc	육성 중 획득 금 +{0}%
SkillTree.Node.PointsGain1.Name	전과 지혜 I
SkillTree.Node.PointsGain1.Desc	대전으로 얻는 포인트 +{0}%
SkillTree.Node.PointsGain2.Name	전과 지혜 II
SkillTree.Node.PointsGain2.Desc	대전으로 얻는 포인트 +{0}%
SkillTree.Node.PointsGain3.Name	전과 극치 I
SkillTree.Node.PointsGain3.Desc	대전으로 얻는 포인트 +{0}%
SkillTree.Node.PointsGain4.Name	전과 극치 II
SkillTree.Node.PointsGain4.Desc	대전으로 얻는 포인트 +{0}%
SkillTree.Node.PointsGain5.Name	전과 패자
SkillTree.Node.PointsGain5.Desc	대전으로 얻는 포인트 +{0}%
SkillTree.Node.Inheritance1.Name	혈맥의 힘 I
SkillTree.Node.Inheritance1.Desc	상속 스탯 상승률 +{0}%
SkillTree.Node.Inheritance2.Name	혈맥의 힘 II
SkillTree.Node.Inheritance2.Desc	상속 스탯 상승률 +{0}%
SkillTree.Node.Inheritance3.Name	혈맥 각성 I
SkillTree.Node.Inheritance3.Desc	상속 스탯 상승률 +{0}%
SkillTree.Node.Inheritance4.Name	혈맥 각성 II
SkillTree.Node.Inheritance4.Desc	상속 스탯 상승률 +{0}%
SkillTree.Node.Inheritance5.Name	혈맥의 극치
SkillTree.Node.Inheritance5.Desc	상속 스탯 상승률 +{0}%
SkillTree.Node.StartingHp4.Name	기초 체력 V
SkillTree.Node.StartingHp4.Desc	육성 시작 시 HP +{0}
SkillTree.Node.StartingHp5.Name	기초 체력 VI
SkillTree.Node.StartingHp5.Desc	육성 시작 시 HP +{0}
SkillTree.Node.StartingHp6.Name	기초 체력 VII
SkillTree.Node.StartingHp6.Desc	육성 시작 시 HP +{0}
SkillTree.Node.StartingHp7.Name	기초 체력 VIII
SkillTree.Node.StartingHp7.Desc	육성 시작 시 HP +{0}
SkillTree.Node.StartingAttack4.Name	기초 공격 IV
SkillTree.Node.StartingAttack4.Desc	육성 시작 시 공격 +{0}
SkillTree.Node.StartingAttack5.Name	기초 공격 V
SkillTree.Node.StartingAttack5.Desc	육성 시작 시 공격 +{0}
SkillTree.Node.StartingAttack6.Name	기초 공격 VI
SkillTree.Node.StartingAttack6.Desc	육성 시작 시 공격 +{0}
SkillTree.Node.StartingDefense4.Name	기초 방어 IV
SkillTree.Node.StartingDefense4.Desc	육성 시작 시 방어 +{0}
SkillTree.Node.StartingDefense5.Name	기초 방어 V
SkillTree.Node.StartingDefense5.Desc	육성 시작 시 방어 +{0}
SkillTree.Node.StartingDefense6.Name	기초 방어 VI
SkillTree.Node.StartingDefense6.Desc	육성 시작 시 방어 +{0}
SkillTree.Node.StartingSpeed4.Name	기초 속도 IV
SkillTree.Node.StartingSpeed4.Desc	육성 시작 시 속도 +{0}
SkillTree.Node.StartingSpeed5.Name	기초 속도 V
SkillTree.Node.StartingSpeed5.Desc	육성 시작 시 속도 +{0}
SkillTree.Node.StartingSpeed6.Name	기초 속도 VI
SkillTree.Node.StartingSpeed6.Desc	육성 시작 시 속도 +{0}
SkillTree.Node.StartingHit4.Name	기초 명중 IV
SkillTree.Node.StartingHit4.Desc	육성 시작 시 명중 +{0}
SkillTree.Node.StartingHit5.Name	기초 명중 V
SkillTree.Node.StartingHit5.Desc	육성 시작 시 명중 +{0}
SkillTree.Node.StartingHit6.Name	기초 명중 VI
