Common.Return	Voltar
Common.Ok	OK
Common.Cancel	Cancelar
Common.Yes	Sim
Common.No	Não
Common.Close	Fechar
Common.Slot	Espaço {index}
Option.Title	Opções
Option.Close	Fechar
Option.Video	【Vídeo】
Option.Audio	【Áudio】
Option.Language	【Idioma】
Option.FullScreen	Tela cheia
Option.VSync	VSync
Option.Music	Música
Option.SoundEffect	SFX
Title.Points	{points} pt
Title.ClayEdit	Editar
Title.BattleNpc	CPU
Title.BattlePvp	JxJ
Title.Training	Treino
Title.SkillTree	Skills
Title.ModelGallery	Galeria
Title.Option	Opcoes
Title.Quit	Sair
Battle.Draw	Empate
Battle.Victory	{winnerName} venceu!
Battle.RangeLabel	Alcance
Battle.Distance	Distância {distance}
Battle.TipsBody	【Controles】\nRecuar/aproximar\nAtaque com botões\nContra e quebra de partes
Battle.TipsEscHint	Esc para o tutorial
Battle.HintPartRepair	Segure RMB para reparar
Battle.HintKnockbackReady	Empurrão pronto
Battle.HintCounter	Contra! Intercepte com {part}
Battle.HintAttackLockout	Recarga de ataque
Battle.HintChain	Combo x{count}
Battle.Miss	Erro
Battle.BandClose	Perto
Battle.BandMid	Média
Battle.BandFar	Longe
Battle.HitHigh	Alto
Battle.HitMid	Médio
Battle.HitLow	Baixo
Battle.HitVeryLow	Muito baixo
Battle.PartArm	Braço
Battle.PartLeg	Perna
Battle.PartFront	Frente
Battle.PartBack	Costas
Battle.PartBody	Nenhum
Battle.Leave	Voltar
Motion.LowSweep	Rasteira
Motion.Kick	Chute
Motion.ShoulderRam	Ombro
Motion.HipCheck	Quadril
Motion.Stomp	Pisada
Motion.Punch	Soco
Motion.Elbow	Cotovelada
Motion.BellyFlop	Pancada
Motion.Headbutt	Cabeçada
Motion.Fireball	Bola de fogo
Motion.Bite	Mordida
Motion.TailWhip	Chicote de cauda
Motion.ThunderShock	Choque elétrico
Motion.DiamondDust	Pó de diamante
Motion.SpinTackle	Investida giratória
Motion.Uppercut	Upper
Motion.WindSlasher	Lâmina de vento
Motion.BodySlam	Body Slam
Motion.Knee	Joelho
Motion.GroundPound	Batida no chão
Motion.Slap	Tapa
