Common.Return	返回
Common.Ok	確定
Common.Cancel	取消
Common.Yes	是
Common.No	否
Common.Close	關閉
Common.Slot	槽位{index}
Option.Title	設定
Option.Close	關閉
Option.Video	【視訊】
Option.Audio	【音訊】
Option.Language	【語言】
Option.FullScreen	全螢幕
Option.VSync	垂直同步
Option.Music	音樂
Option.SoundEffect	音效
Title.Points	{points} pt
Title.ClayEdit	編輯
Title.BattleNpc	CPU戰
Title.BattlePvp	對戰
Title.Training	育成
Title.SkillTree	技能
Title.ModelGallery	展廳
Title.Option	設定
Title.Quit	結束
Battle.Draw	平手
Battle.Victory	{winnerName} 勝利！
Battle.RangeLabel	射程
Battle.Distance	距離 {distance}
Battle.TipsBody	【操作】\n後退/接近移動\n用技能按鈕攻擊\n使用反擊與部位破壞
Battle.TipsEscHint	按 Esc 顯示教學
Battle.HintPartRepair	按住右鍵恢復部位
Battle.HintKnockbackReady	可使用擊退
Battle.HintCounter	反擊！用{part}技能迎擊
Battle.HintAttackLockout	攻擊冷卻中
Battle.HintChain	連擊 x{count}
Battle.Miss	未命中
Battle.BandClose	近距離
Battle.BandMid	中距離
Battle.BandFar	遠距離
Battle.HitHigh	高
Battle.HitMid	中
Battle.HitLow	低
Battle.HitVeryLow	極低
Battle.PartArm	臂
Battle.PartLeg	腿
Battle.PartFront	前
Battle.PartBack	後
Battle.PartBody	無
Battle.Leave	返回
Motion.LowSweep	掃腿
Motion.Kick	踢擊
Motion.ShoulderRam	肩撞
Motion.HipCheck	胯撞
Motion.Stomp	踩踏
Motion.Punch	拳擊
Motion.Elbow	肘擊
Motion.BellyFlop	壓倒
Motion.Headbutt	頭槌
Motion.Fireball	火球
Motion.Bite	撕咬
Motion.TailWhip	尾擊
Motion.ThunderShock	雷擊
Motion.DiamondDust	鑽石塵
Motion.SpinTackle	迴轉衝撞
Motion.Uppercut	上勾拳
Motion.WindSlasher	風刃
Motion.BodySlam	體壓
Motion.Knee	膝踢
Motion.GroundPound	砸地
Motion.Slap	掌摑
Motion.Tackle	衝撞
BattlePvp.DisconnectMessage	連線已中斷
BattlePvp.DisconnectClose	關閉
ModelGallery.Points	{points} pt
ModelGallery.PostConfirm	要發佈此模型嗎？
ModelGallery.Slot	槽位
Enemy.Weak	弱
Enemy.Normal	普通
Enemy.Strong	強
Enemy.VeryStrong	超強
Enemy.Strongest	最強
Training.ModeSelectTitle	請選擇培養方式
Training.ResumeTitle	發現進行中的培養資料
Training.AmbushTitle	強敵突襲
Training.AmbushTitleBang	強敵突襲！
Training.AmbushEnemyDefault	強敵
Training.AmbushMessage	{name}襲來！\n選擇戰鬥或逃走
Training.Complete	培養完成
Training.Motivation	幹勁 
Training.LearnedHeader	▼習得技能
Training.SwapHeader	▼替換槽位
Training.AttackComposition	▼技能構成
Training.AttackCompositionNone	▼技能構成\n無
Training.Inheritance	繼承
Training.SaveOverwrite	將覆蓋已培養槽位{slot}的資料
Training.SaveTo	儲存到已培養槽位{slot}
Training.SaveDestNotSelected	未選擇儲存槽位
Training.SaveFailed	儲存培養資料失敗\n未培養資料已保留
Training.AmbushStartFailed	無法開始強敵突襲戰鬥
Training.SwapSlotResult	已替換槽位{slot}
Training.ChooseSave	存檔
Training.DeleteConfirm	要刪除槽位{slot}「{name}」嗎？
Training.ModelNamePlaceholder	輸入模型名稱
Training.TrainedSlot	已培養槽位{index}
SkillTree.SelectNode	請選擇節點
SkillTree.Unlock	解鎖
SkillTree.Unlocked	已解鎖
SkillTree.PointsShort	點數不足
SkillTree.BonusHeader	【獲得效果】
SkillTree.StatStartHp	初始HP
SkillTree.StatStartAtk	初始攻擊
SkillTree.StatStartDef	初始防禦
SkillTree.StatStartSpd	初始速度
SkillTree.StatStartHit	初始命中
SkillTree.StatStartAll	初始全屬性
SkillTree.StatGreatSuccess	大成功率
SkillTree.StatStartMoney	初始金錢
SkillTree.StatTrainMoney	培養獲得金
SkillTree.StatPoints	對戰點數
SkillTree.StatInherit	繼承提升
SkillTree.StatNone	─
SkillTree.Node.Center.Name	基礎體力I
SkillTree.Node.Center.Desc	育成開始時HP+{0}
SkillTree.Node.StartingHp.Name	基礎體力II
SkillTree.Node.StartingHp.Desc	育成開始時HP+{0}
SkillTree.Node.StartingHp2.Name	基礎體力III
SkillTree.Node.StartingHp2.Desc	育成開始時HP+{0}
SkillTree.Node.StartingHp3.Name	基礎體力IV
SkillTree.Node.StartingHp3.Desc	育成開始時HP+{0}
SkillTree.Node.StartingAttack.Name	基礎攻擊I
SkillTree.Node.StartingAttack.Desc	育成開始時攻擊+{0}
SkillTree.Node.StartingAttack2.Name	基礎攻擊II
SkillTree.Node.StartingAttack2.Desc	育成開始時攻擊+{0}
SkillTree.Node.StartingAttack3.Name	基礎攻擊III
SkillTree.Node.StartingAttack3.Desc	育成開始時攻擊+{0}
SkillTree.Node.StartingDefense.Name	基礎防禦I
SkillTree.Node.StartingDefense.Desc	育成開始時防禦+{0}
SkillTree.Node.StartingDefense2.Name	基礎防禦II
SkillTree.Node.StartingDefense2.Desc	育成開始時防禦+{0}
SkillTree.Node.StartingDefense3.Name	基礎防禦III
SkillTree.Node.StartingDefense3.Desc	育成開始時防禦+{0}
SkillTree.Node.StartingSpeed.Name	基礎速度I
SkillTree.Node.StartingSpeed.Desc	育成開始時速度+{0}
SkillTree.Node.StartingSpeed2.Name	基礎速度II
SkillTree.Node.StartingSpeed2.Desc	育成開始時速度+{0}
SkillTree.Node.StartingSpeed3.Name	基礎速度III
SkillTree.Node.StartingSpeed3.Desc	育成開始時速度+{0}
SkillTree.Node.StartingHit.Name	基礎命中I
SkillTree.Node.StartingHit.Desc	育成開始時命中+{0}
SkillTree.Node.StartingHit2.Name	基礎命中II
SkillTree.Node.StartingHit2.Desc	育成開始時命中+{0}
SkillTree.Node.StartingHit3.Name	基礎命中III
SkillTree.Node.StartingHit3.Desc	育成開始時命中+{0}
SkillTree.Node.StartingAll.Name	綜合強化I
SkillTree.Node.StartingAll.Desc	育成開始時全屬性+{0}
SkillTree.Node.StartingAll2.Name	綜合強化II
SkillTree.Node.StartingAll2.Desc	育成開始時全屬性+{0}
SkillTree.Node.StartingAll3.Name	綜合強化III
SkillTree.Node.StartingAll3.Desc	育成開始時全屬性+{0}
SkillTree.Node.GreatSuccess1.Name	集中力I
SkillTree.Node.GreatSuccess1.Desc	訓練大成功率+{0}%
SkillTree.Node.GreatSuccess2.Name	集中力II
SkillTree.Node.GreatSuccess2.Desc	訓練大成功率+{0}%
SkillTree.Node.GreatSuccess3.Name	熟練I
SkillTree.Node.GreatSuccess3.Desc	訓練大成功率+{0}%
SkillTree.Node.GreatSuccess4.Name	熟練II
SkillTree.Node.GreatSuccess4.Desc	訓練大成功率+{0}%
SkillTree.Node.GreatSuccess5.Name	達人之境
SkillTree.Node.GreatSuccess5.Desc	訓練大成功率+{0}%
SkillTree.Node.StartingMoney1.Name	零用錢I
SkillTree.Node.StartingMoney1.Desc	育成開始時所持金+{0}G
SkillTree.Node.StartingMoney2.Name	零用錢II
SkillTree.Node.StartingMoney2.Desc	育成開始時所持金+{0}G
SkillTree.Node.StartingMoney3.Name	存錢高手I
SkillTree.Node.StartingMoney3.Desc	育成開始時所持金+{0}G
SkillTree.Node.StartingMoney4.Name	存錢高手II
SkillTree.Node.StartingMoney4.Desc	育成開始時所持金+{0}G
SkillTree.Node.TrainingMoney1.Name	賞金獵人I
SkillTree.Node.TrainingMoney1.Desc	育成中獲得金錢+{0}%
SkillTree.Node.TrainingMoney2.Name	賞金獵人II
SkillTree.Node.TrainingMoney2.Desc	育成中獲得金錢+{0}%
SkillTree.Node.TrainingMoney3.Name	大宗交易I
SkillTree.Node.TrainingMoney3.Desc	育成中獲得金錢+{0}%
SkillTree.Node.TrainingMoney4.Name	大宗交易II
SkillTree.Node.TrainingMoney4.Desc	育成中獲得金錢+{0}%
SkillTree.Node.TrainingMoney5.Name	經商極致
SkillTree.Node.TrainingMoney5.Desc	育成中獲得金錢+{0}%
SkillTree.Node.PointsGain1.Name	戰果智慧I
SkillTree.Node.PointsGain1.Desc	對戰獲得點數+{0}%
SkillTree.Node.PointsGain2.Name	戰果智慧II
SkillTree.Node.PointsGain2.Desc	對戰獲得點數+{0}%
SkillTree.Node.PointsGain3.Name	戰果極致I
SkillTree.Node.PointsGain3.Desc	對戰獲得點數+{0}%
SkillTree.Node.PointsGain4.Name	戰果極致II
SkillTree.Node.PointsGain4.Desc	對戰獲得點數+{0}%
SkillTree.Node.PointsGain5.Name	戰果霸主
SkillTree.Node.PointsGain5.Desc	對戰獲得點數+{0}%
SkillTree.Node.Inheritance1.Name	血脈之力I
SkillTree.Node.Inheritance1.Desc	繼承屬性提升率+{0}%
SkillTree.Node.Inheritance2.Name	血脈之力II
SkillTree.Node.Inheritance2.Desc	繼承屬性提升率+{0}%
SkillTree.Node.Inheritance3.Name	血脈覺醒I
SkillTree.Node.Inheritance3.Desc	繼承屬性提升率+{0}%
SkillTree.Node.Inheritance4.Name	血脈覺醒II
SkillTree.Node.Inheritance4.Desc	繼承屬性提升率+{0}%
SkillTree.Node.Inheritance5.Name	血脈極致
SkillTree.Node.Inheritance5.Desc	繼承屬性提升率+{0}%
SkillTree.Node.StartingHp4.Name	基礎體力V
SkillTree.Node.StartingHp4.Desc	育成開始時HP+{0}
SkillTree.Node.StartingHp5.Name	基礎體力VI
SkillTree.Node.StartingHp5.Desc	育成開始時HP+{0}
SkillTree.Node.StartingHp6.Name	基礎體力VII
SkillTree.Node.StartingHp6.Desc	育成開始時HP+{0}
SkillTree.Node.StartingHp7.Name	基礎體力VIII
SkillTree.Node.StartingHp7.Desc	育成開始時HP+{0}
SkillTree.Node.StartingAttack4.Name	基礎攻擊IV
SkillTree.Node.StartingAttack4.Desc	育成開始時攻擊+{0}
SkillTree.Node.StartingAttack5.Name	基礎攻擊V
SkillTree.Node.StartingAttack5.Desc	育成開始時攻擊+{0}
SkillTree.Node.StartingAttack6.Name	基礎攻擊VI
SkillTree.Node.StartingAttack6.Desc	育成開始時攻擊+{0}
SkillTree.Node.StartingDefense4.Name	基礎防禦IV
SkillTree.Node.StartingDefense4.Desc	育成開始時防禦+{0}
SkillTree.Node.StartingDefense5.Name	基礎防禦V
SkillTree.Node.StartingDefense5.Desc	育成開始時防禦+{0}
SkillTree.Node.StartingDefense6.Name	基礎防禦VI
SkillTree.Node.StartingDefense6.Desc	育成開始時防禦+{0}
SkillTree.Node.StartingSpeed4.Name	基礎速度IV
SkillTree.Node.StartingSpeed4.Desc	育成開始時速度+{0}
SkillTree.Node.StartingSpeed5.Name	基礎速度V
SkillTree.Node.StartingSpeed5.Desc	育成開始時速度+{0}
SkillTree.Node.StartingSpeed6.Name	基礎速度VI
SkillTree.Node.StartingSpeed6.Desc	育成開始時速度+{0}
SkillTree.Node.StartingHit4.Name	基礎命中IV
SkillTree.Node.StartingHit4.Desc	育成開始時命中+{0}
SkillTree.Node.StartingHit5.Name	基礎命中V
SkillTree.Node.StartingHit5.Desc	育成開始時命中+{0}
SkillTree.Node.StartingHit6.Name	基礎命中VI
SkillTree.Node.StartingHit6.Desc	育成開始時命中+{0}
SkillTree.Node.StartingAll4.Name	綜合強化IV
SkillTree.Node.StartingAll4.Desc	育成開始時全屬性+{0}
SkillTree.Node.StartingAll5.Name	綜合強化V
SkillTree.Node.StartingAll5.Desc	育成開始時全屬性+{0}
SkillTree.Node.GreatSuccess6.Name	熟練III
SkillTree.Node.GreatSuccess6.Desc	訓練大成功率+{0}%
SkillTree.Node.GreatSuccess7.Name	達人I
SkillTree.Node.GreatSuccess7.Desc	訓練大成功率+{0}%
SkillTree.Node.GreatSuccess8.Name	達人II
SkillTree.Node.GreatSuccess8.Desc	訓練大成功率+{0}%
SkillTree.Node.GreatSuccess9.Name	極意I
SkillTree.Node.GreatSuccess9.Desc	訓練大成功率+{0}%
SkillTree.Node.GreatSuccess10.Name	極意II
SkillTree.Node.GreatSuccess10.Desc	訓練大成功率+{0}%
SkillTree.Node.StartingMoney5.Name	存錢高手III
SkillTree.Node.StartingMoney5.Desc	育成開始時所持金+{0}G
SkillTree.Node.StartingMoney6.Name	財力I
SkillTree.Node.StartingMoney6.Desc	育成開始時所持金+{0}G
SkillTree.Node.StartingMoney7.Name	財力II
SkillTree.Node.StartingMoney7.Desc	育成開始時所持金+{0}G
SkillTree.Node.StartingMoney8.Name	財力III
SkillTree.Node.StartingMoney8.Desc	育成開始時所持金+{0}G
SkillTree.Node.TrainingMoney6.Name	大宗交易III
SkillTree.Node.TrainingMoney6.Desc	育成中獲得金錢+{0}%
SkillTree.Node.TrainingMoney7.Name	經商能手I
SkillTree.Node.TrainingMoney7.Desc	育成中獲得金錢+{0}%
SkillTree.Node.TrainingMoney8.Name	經商能手II
SkillTree.Node.TrainingMoney8.Desc	育成中獲得金錢+{0}%
SkillTree.Node.TrainingMoney9.Name	經商能手III
SkillTree.Node.TrainingMoney9.Desc	育成中獲得金錢+{0}%
SkillTree.Node.TrainingMoney10.Name	經商精髓
SkillTree.Node.TrainingMoney10.Desc	育成中獲得金錢+{0}%
SkillTree.Node.PointsGain6.Name	戰果霸主II
SkillTree.Node.PointsGain6.Desc	對戰獲得點數+{0}%
SkillTree.Node.PointsGain7.Name	戰果霸主III
SkillTree.Node.PointsGain7.Desc	對戰獲得點數+{0}%
SkillTree.Node.PointsGain8.Name	戰果傳說I
SkillTree.Node.PointsGain8.Desc	對戰獲得點數+{0}%
SkillTree.Node.PointsGain9.Name	戰果傳說II
SkillTree.Node.PointsGain9.Desc	對戰獲得點數+{0}%
SkillTree.Node.PointsGain10.Name	戰果傳說III
SkillTree.Node.PointsGain10.Desc	對戰獲得點數+{0}%
SkillTree.Node.Inheritance6.Name	血脈極致II
SkillTree.Node.Inheritance6.Desc	繼承屬性提升率+{0}%
SkillTree.Node.Inheritance7.Name	血脈極致III
SkillTree.Node.Inheritance7.Desc	繼承屬性提升率+{0}%
SkillTree.Node.Inheritance8.Name	血脈傳說I
SkillTree.Node.Inheritance8.Desc	繼承屬性提升率+{0}%
SkillTree.Node.Inheritance9.Name	血脈傳說II
